sensor_id,timestamp,temperature,humidity
1,2025-03-31T15:12:30.650137,21.57,42.5
1,2025-03-31T15:12:30.752141,20.86,69.95
1,2025-03-31T15:12:30.853160,21.94,
1,2025-03-31T15:12:30.853160,21.94,
1,2025-03-31T15:12:30.954168,26.21,40.87
1,2025-03-31T15:12:31.055165,18.72,60.41
1,2025-03-31T15:12:31.055165,18.72,60.41
1,2025-03-31T15:12:31.156185,20.0,66.93
1,2025-03-31T15:12:31.257191,25.76,68.61
1,2025-03-31T15:12:31.257191,25.76,68.61
1,2025-03-31T15:12:31.358199,24.87,
1,2025-03-31T15:12:31.459194,21.67,42.09
1,2025-03-31T15:12:31.459194,21.67,42.09
1,2025-03-31T15:12:31.560213,24.67,53.25
1,2025-03-31T15:12:31.661220,21.64,69.16
1,2025-03-31T15:12:31.661220,21.64,69.16
1,2025-03-31T15:12:31.762220,29.66,40.68
1,2025-03-31T15:12:31.864227,23.78,
1,2025-03-31T15:12:31.864227,23.78,
1,2025-03-31T15:12:31.965246,24.64,69.58
1,2025-03-31T15:12:32.066254,19.21,43.43
1,2025-03-31T15:12:32.066254,19.21,43.43
1,2025-03-31T15:12:32.167247,25.18,40.6
1,2025-03-31T15:12:32.268257,22.64,68.53
1,2025-03-31T15:12:32.268257,22.64,68.53
1,2025-03-31T15:12:32.369264,25.27,62.5
1,2025-03-31T15:12:32.470271,23.84,48.97
1,2025-03-31T15:12:32.470271,23.84,48.97
1,2025-03-31T15:12:32.571277,23.53,68.55
1,2025-03-31T15:12:32.672293,22.22,52.96
1,2025-03-31T15:12:32.672293,22.22,52.96
1,2025-03-31T15:12:32.773305,26.21,63.29
1,2025-03-31T15:12:32.874309,26.24,65.33
1,2025-03-31T15:12:32.874309,26.24,65.33
1,2025-03-31T15:12:32.975308,27.45,44.32
1,2025-03-31T15:12:33.075969,24.95,63.57
1,2025-03-31T15:12:33.075969,24.95,63.57
1,2025-03-31T15:12:33.176499,26.33,46.61
1,2025-03-31T15:12:33.277499,19.55,63.11
1,2025-03-31T15:12:33.277499,19.55,63.11
1,2025-03-31T15:12:33.378509,27.81,52.22
1,2025-03-31T15:12:33.479525,25.64,64.13
1,2025-03-31T15:12:33.479525,25.64,64.13
1,2025-03-31T15:12:33.580531,27.36,46.24
1,2025-03-31T15:12:33.681539,21.03,60.64
1,2025-03-31T15:12:33.681539,21.03,60.64
1,2025-03-31T15:12:33.782545,21.2,41.31
1,2025-03-31T15:12:33.883826,26.72,63.45
1,2025-03-31T15:12:33.883826,26.72,63.45
1,2025-03-31T15:12:33.984836,28.13,
1,2025-03-31T15:12:34.085840,21.21,65.39
1,2025-03-31T15:12:34.085840,21.21,65.39
1,2025-03-31T15:12:34.186848,27.64,53.31
1,2025-03-31T15:12:34.287869,26.16,
1,2025-03-31T15:12:34.287869,26.16,
1,2025-03-31T15:12:34.388878,18.92,58.34
1,2025-03-31T15:12:34.489882,20.01,65.07
1,2025-03-31T15:12:34.489882,20.01,65.07
1,2025-03-31T15:12:34.590879,28.33,
1,2025-03-31T15:12:34.691900,20.96,
1,2025-03-31T15:12:34.691900,20.96,
1,2025-03-31T15:12:34.792895,27.55,
1,2025-03-31T15:12:34.893381,19.91,51.68
1,2025-03-31T15:12:34.893381,19.91,51.68
1,2025-03-31T15:12:34.994390,29.25,49.36
1,2025-03-31T15:12:35.095389,25.04,65.39
1,2025-03-31T15:12:35.095389,25.04,65.39
1,2025-03-31T15:12:35.196393,26.58,57.82
1,2025-03-31T15:12:35.297400,25.65,66.8
1,2025-03-31T15:12:35.297400,25.65,66.8
1,2025-03-31T15:12:35.398450,18.09,
1,2025-03-31T15:12:35.499468,28.09,45.43
1,2025-03-31T15:12:35.499468,28.09,45.43
1,2025-03-31T15:12:35.600463,25.58,
